电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,评分,评分人数,domestic_boxoffice,international_boxoffice,worldwide_boxoffice
房间 Room,伦尼·阿伯拉罕森,艾玛·多诺霍,布丽·拉尔森/雅各布·特伦布莱/肖恩·布里吉格斯/温迪·古逊/阿曼达·布鲁盖尔/乔·平格/琼·艾伦/卡斯·安瓦尔/威廉姆·H·梅西/兰道尔·爱德华/罗德里戈-费尔南德斯-斯托尔/罗里·奥谢/汤姆·麦卡穆斯/杰克·富尔顿/梅根·帕克,剧情/家庭,爱尔兰/加拿大/英国/美国,英语,2015-09-04(特柳赖德电影节)/2015-10-23(多伦多)/2016-01-15(爱尔兰/英国)/2016-01-22(美国),118分钟,不存在的房间(台)/抖室(港),tt3170832,8.8,331731,"$14,677,654","$20,724,104","$35,401,758"
青蛇,徐克,李碧华/徐克,张曼玉/王祖贤/赵文卓/吴兴国/马精武/田丰/刘洵,剧情/爱情/奇幻/古装,中国香港/中国大陆,粤语/汉语普通话,1993-11-04(中国香港),99分钟,GreenSnake,tt0106559,8.6,448764,None,None,None
源代码 Source Code,邓肯·琼斯,本·雷普利,杰克·吉伦哈尔/维拉·法米加/米歇尔·莫纳汉/杰弗里·怀特/拉塞尔·皮特斯/詹姆斯·A·伍兹/迈克尔·阿登/乔·柯布登/卡斯·安瓦尔,科幻/悬疑/惊悚,美国/加拿大,英语,2011-08-30(中国大陆)/2011-03-11(西南偏南电影节)/2011-04-01(美国),93分钟,启动原始码(台)/危机解密(港),tt0945513,8.5,709893,"$54,712,227","$92,620,470","$147,332,697"
无间道2 無間道II,刘伟强/麦兆辉,麦兆辉/庄文强,陈冠希/余文乐/曾志伟/黄秋生/吴镇宇/刘嘉玲/胡军/张耀扬/杜汶泽/连凯/廖启智/惠英红,剧情/惊悚/犯罪,中国香港,粤语/英语/汉语普通话/泰语,2003-10-17(中国大陆)/2003-10-01(中国香港),119分钟/110分钟(德国电视版),无间道前传/InfernalAffairsII/InfernalAffairs2/无间道II,tt0369060,8.6,376436,None,"$3,244,410","$3,244,410"
新龙门客栈 新龍門客棧,李惠民,徐克/张炭/吕晓禾/司徒慧焯/何冀平/苏叔阳,张曼玉/林青霞/梁家辉/甄子丹/熊欣欣/刘洵/任世官/吴启华/袁祥仁/徐锦江/郑希怡/王彤川/王伟顺/蔡浩,动作/爱情/武侠/古装,中国香港/中国大陆,汉语普通话/粤语,2012-02-24(中国大陆)/1992-08-27(中国香港),88分钟/99分钟/103分钟(美国),NewDragonGateInn,tt0105859,8.6,381983,None,None,None
东京教父 東京ゴッドファーザーズ,今敏,今敏/信本敬子,江守彻/梅垣义明/冈本绫/饭塚昭三/加藤精三/石丸博也/槐柳二/屋良有作/寺濑今日子/能登麻美子/大塚明夫/小山力也/宇垣秀成/小形满/芝原智矢子/竹口安芸子/伊藤和晃/古田信幸/汤屋敦子/堀川仁/风间勇刀/最上嗣生/园部好德/川濑晶子/宫崎晋永/矢原加奈子/柴田理惠/犬山犬子/山寺宏一/柚木凉香/进藤尚美/川原庆久/麻生智久/铃森勘司/金田朋子/藤原启治/兴梠里美,剧情/喜剧/动画,日本,日语/西班牙语/英语,2003-11-08(日本),92分钟,TokyoGodfathers,tt0388473,9.0,166090,"$367,131","$86,002","$453,133"
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,乔治·米勒,乔治·米勒/布伦丹·麦卡锡/尼克·拉图里,汤姆·哈迪/查理兹·塞隆/尼古拉斯·霍尔特/休·基斯-拜恩/乔什·赫尔曼/内森·琼斯/佐伊·克罗维兹/罗茜·汉丁顿-惠特莉/丽莉·吉欧/阿比·丽/考特尼·伊顿/安格斯·桑普森/理查德·卡特/梅根·盖尔/肖恩·哈普,动作/科幻/冒险,澳大利亚/美国,英语/俄语,2015-05-14(澳大利亚)/2015-05-15(美国),120分钟,末日先锋：战甲飞车(港)/疯狂麦斯：愤怒道(台)/冲锋飞车队4/迷雾追魂手4/冲锋追魂手4/疯狂麦克斯4/疯狂迈斯：怒途/MadMax4,tt1392190,8.6,452576,"$154,058,340","$221,600,410","$375,658,750"
魂断蓝桥 Waterloo Bridge,茂文·勒鲁瓦,塞缪尔·N·贝尔曼/汉斯·拉莫/乔治·弗罗斯切尔/罗伯特·E·舍伍德,费雯·丽/罗伯特·泰勒/露塞尔·沃特森/弗吉尼亚·菲尔德/玛丽亚·彭斯卡娅/C.奥布雷·史密斯/JanetShaw/JanetWaldo/SteffiDuna/VirginiaCarroll/EleanorStewart/LowdenAdams/HarryAllen/JimmyAubrey/PhyllisBarry/ColinCampbell/丽塔·卡莱尔/里奥.G.卡罗尔/戴维·卡文迪什/大卫·克莱德/汤姆·康威/FrankDawson/ConnieEmerald/GilbertEmery/赫伯特·埃文斯/迪克·戈登/DenisGreen/艾塞尔·格里菲斯/BobbyHale/WinifredHarris/哈利韦尔·霍布斯/HaroldHoward/CharlesIrwin/GeorgeKirby/WalterLawrence/威尔弗雷德·卢卡斯/DanMaxwell/JamesMay/FlorineMcKinney/CharlesMcNaughton/FrankMitchell/埃德蒙·莫蒂默/伦纳德米迪/坦普·皮戈特/JohnPower/ClaraReid/PaulScardon/约翰·格雷厄姆·斯佩西/WyndhamStanding/哈里·斯塔布斯/CyrilThornton/戴维·瑟斯比/诺玛·威登/帕特·威尔士/玛莎·温特沃思/FrankWhitbeck/EricWilton/罗伯特·温克勒/道格拉斯·伍德,剧情/爱情/战争,美国,英语/法语,1940-05-17(美国),108分钟,滑铁卢桥/断桥残梦,tt0033238,8.8,239549,None,"$31,111","$31,111"
无耻混蛋 Inglourious Basterds,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,布拉德·皮特/梅拉尼·罗兰/克里斯托弗·瓦尔兹/伊莱·罗斯/迈克尔·法斯宾德/黛安·克鲁格/丹尼尔·布鲁赫/蒂尔·施威格/哥德昂·布克哈德/雅基·伊多/B·J·诺瓦克/奥玛·杜姆/奥古斯特·迪赫/德尼·梅诺谢/西尔维斯特·格罗特/蕾雅·赛杜,剧情/犯罪,德国/美国,英语/德语/法语/意大利语,2009-05-20(戛纳电影节)/2009-08-20(德国),153分钟,希魔撞正杀人狂(港)/恶棍特工(台)/无良杂种/无良杂军/戴罪立功/无良杂牌军/混蛋野战队,tt0361748,8.6,410238,"$120,540,719","$200,917,028","$321,457,747"
步履不停 歩いても 歩いても,是枝裕和,是枝裕和,阿部宽/夏川结衣/江原由希子/高桥和也/田中祥平/野本萤/林凌雅/寺岛进/加藤治子/树木希林/原田芳雄,剧情/家庭,日本,日语,2008-06-28(日本),115分钟,横山家之味(港/台)/步伐不停/即使你走啊走/安静的行走/StillWalking/EvenIfYouWalkandWalk,tt1087578,8.8,235297,"$167,047","$3,344,073","$3,511,120"
血钻 Blood Diamond,爱德华·兹威克,查尔斯·里维特,莱昂纳多·迪卡普里奥/杰曼·翰苏/詹妮弗·康纳利/阿诺德·沃斯洛/大卫·哈雷伍德/吉米·米斯特雷/麦克·辛/史蒂芬·柯林斯,剧情/惊悚/冒险,美国/德国/英国,英语/门德语/南非语,2006-12-08(美国),143分钟,血钻石(台)/血腥钻石/滴血钻石,tt0450259,8.7,319634,"$57,377,916","$114,342,482","$171,720,398"
茶馆,谢添,老舍,于是之/郑榕/蓝天野/英若诚/黄宗洛/童超/金昭/林连昆/牛星丽/谭宗尧/童弟/吴淑昆/胡宗温/程中/李大千/李源/李翔/张瞳/任宝贤/尚丽娟/米铁增/田春奎/冯增祥/雷飞/林东升/孟瑾/孙峻峰/平原/曹世骧/王大年/王淑华/张华/丁海涛/朱旭/孙敬修/曹孟浪/何康理,剧情/历史,中国大陆,北京话,1982,118分钟,TheTeahouse,tt1395030,9.5,82648,None,None,None
燃情岁月 Legends of the Fall,爱德华·兹威克,威廉·D·威特利夫/吉姆·哈里森/苏珊·希利迪,布拉德·皮特/安东尼·霍普金斯/艾丹·奎因/朱莉娅·奥蒙德/亨利·托马斯/卡琳娜·隆巴德/坦图·卡丁诺/高登·图托西斯/克里斯蒂娜·皮克勒斯/约翰·诺瓦克/肯尼斯·威尔什/尼格尔·本内特/基根·麦金托什/埃里克·约翰逊/兰德尔·斯莱文/大卫·卡耶/查尔斯·安德烈/肯·科齐格/温妮·孔/巴特熊/格雷格·福西特/加里·A·赫克/马修·罗伯特·凯利,剧情/爱情/战争/西部,美国,英语/科尼什语,1994-12-16(美国),133分钟,秋日传奇/真爱一世情(台)/LegendsoftheAutumn,tt0110322,8.8,251894,"$66,638,883","$94,000,000","$160,638,883"
千钧一发 Gattaca,安德鲁·尼科尔,安德鲁·尼科尔,伊桑·霍克/乌玛·瑟曼/裘德·洛/艾伦·阿金/戈尔·维达尔/山德·贝克利/劳恩·迪恩/简妮·布鲁克/伊莱亚斯·科泰斯/玛娅·鲁道夫/伍娜·戴蒙/布莱尔·安德伍德/梅森·甘布/威廉姆·李·斯科特/欧内斯特·博格宁/托尼·夏尔赫布/肯·马里诺/加布里埃尔·瑞丝/迪恩·诺里斯/丹格里芬/格雷戈·赛斯特罗/ElizabethDennehy/查德·克里斯特/GeorgeMarshallRuge,剧情/科幻/惊悚,美国,英语/世界语,1997-10-24(美国),106分钟,变种异煞(港)/自然人/戛塔卡/伽蒂卡/太空梦/基因代码,tt0119177,8.8,236092,"$12,532,777",None,"$12,532,777"
黑客帝国2：重装上阵 The Matrix Reloaded,拉娜·沃卓斯基/莉莉·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/劳伦斯·菲什伯恩/凯瑞-安·莫斯/雨果·维文/莫妮卡·贝鲁奇/赫尔穆特·巴凯蒂斯/斯蒂夫·巴什托尼/克里斯汀·阿努/丹尼尔·伯哈特/约瑟芬·白内斯/安迪·阿尼斯/贾达·萍克·史密斯/邹兆龙/埃茜·戴维斯/纳许·埃哲顿/格洛丽亚·福斯特/大卫·富兰克林/诺娜·加耶/小罗伊·琼斯/大卫·基尔德/兰德尔·杜克·金/克里斯托弗·卡比/纳撒尼尔·利斯/哈里·列尼斯/罗伯特·马莫内/马特·麦科姆/罗宾·奈文/大卫·诺/吉娜薇·欧瑞丽/苏格拉底·奥图/哈罗德·佩里诺/阿德里安·雷梅特/尼尔·雷梅特/鲁伯特·雷德/大卫·罗伯茨/凯文·斯科特/尼坎德罗·托马斯/吉娜·托瑞斯/史蒂夫·维拉/克莱顿·华生/康奈尔·韦斯特/雷·沃纳尔/伯纳德·怀特/朗贝尔·维尔森/安东尼·布兰登·黄/安东尼·泽比,动作/科幻,美国,英语/法语,2003-07-18(中国大陆)/2003-05-07(韦斯特伍德首映)/2003-05-15(美国),138分钟,22世纪杀人网络2：决战未来(港)/骇客任务：重装上阵(台)/廿二世纪杀人网络2：决战未来/黑客帝国2/骇客帝国2,tt0234215,8.6,337621,"$281,576,461","$460,271,476","$741,847,937"
谍影重重2 The Bourne Supremacy,保罗·格林格拉斯,罗伯特·鲁德鲁姆/托尼·吉尔罗伊,马特·达蒙/布莱恩·考克斯/琼·艾伦/卡尔·厄本/弗朗卡·波滕特/朱丽娅·斯蒂尔斯/加布里埃尔·曼/马尔顿·索克斯/汤姆·加洛普/约翰·贝德福德·劳埃德/伊桑·桑德勒/米歇尔·莫纳汉/卡瑞尔·罗登/托马斯·阿拉纳/奥莎娜·阿金什那/YevgeniSitokhin/蒂姆·格里芬/肖恩·史密斯/马克西姆·科瓦莱夫斯基/帕特里克·克劳利/乔恩·科林·巴克利/谢恩·辛努特科/ClaudioManiscalco/DirkSchoedon/伊万·舍甫多夫/丹尼斯·布尔加兹列夫/NickWilder/维克多·埃菲尔/埃莱娜·卡多纳/克里斯·库珀,动作/悬疑/惊悚,美国/德国,英语/俄语/德语/意大利语,2004-11-14(中国大陆)/2004-07-15(洛杉矶首映)/2004-07-23(美国),108分钟,叛谍追击2：机密圈套(港)/神鬼认证：神鬼疑云(台)/伯恩的身份2/至尊伯恩/伯恩的霸权,tt0372183,8.7,307408,"$176,241,941","$114,593,328","$290,835,269"
海洋 Océans,雅克·贝汉/雅克·克鲁奥德,克里斯托夫·谢松/雅克·克鲁奥德/洛朗·德巴/斯特凡纳·迪朗/洛朗·戈德/雅克·贝汉/弗朗索瓦·萨兰诺,皮尔斯·布鲁斯南/小佩德罗·阿门达里斯/雅克·贝汉/宫泽理惠/马蒂亚斯·勃兰特/阿尔多/兰斯洛特·佩林/ManoloGarcia,纪录片,法国/瑞士/西班牙/美国/阿联酋/摩纳哥,法语,2011-08-12(中国大陆)/2009-10-17(东京电影节)/2010-01-27(法国),104分钟(法国)/84分钟(美国)/100分钟(德国)/86分钟(阿根廷),Oceans,tt0765128,9.1,143947,"$19,422,319","$63,668,237","$83,090,556"
崖上的波妞 崖の上のポニョ,宫崎骏,宫崎骏,奈良柚莉爱/土井洋辉/山口智子/长岛一茂/天海祐希/所乔治/柊瑠美/矢野显子/吉行和子/奈良冈朋子/左时枝/羽鸟慎一/平冈映美/大桥望美,动画/奇幻/冒险,日本,日语,2020-12-31(中国大陆)/2008-07-19(日本),101分钟,悬崖上的金鱼姬/悬崖上的金鱼公主/崖上的波儿(港)/悬崖上的Ponyo/PonyoontheCliffbytheSea/GakenouenoPonyo,tt0876563,8.6,404610,"$15,743,471","$189,083,197","$204,826,668"
阿飞正传 阿飛正傳,王家卫,王家卫,张国荣/张曼玉/刘嘉玲/刘德华/张学友/潘迪华/梁朝伟,剧情/爱情/犯罪,中国香港,粤语/汉语普通话/英语/菲律宾语/上海话,2018-06-25(中国大陆)/1990-12-15(中国香港),94分钟,DaysofBeingWild,tt0101258,8.5,433760,"$146,310","$2,959,742","$3,106,052"
穿越时空的少女 時をかける少女,细田守,奥寺佐渡子/筒井康隆,仲里依纱/石田卓也/板仓光隆/垣内彩未/谷村美月/关户优希/桂歌若/安藤绿/立木文彦/山本圭子/反田孝幸/谷川清美/汤屋敦子/松田洋治/中村正/原沙知绘,剧情/爱情/科幻/动画,日本,日语,2006-07-15(日本),98分钟,跳跃吧！时空少女(台)/Tokiokakerushôjo/TheGirlWhoLeaptThroughTime,tt0808506,8.6,338100,None,"$873,435","$873,435"
背靠背，脸对脸,黄建新/杨亚洲,黄建新/孙毅安/刘醒龙,牛振华/雷恪生/李强/句号/王劲松/戈治均/佘南南/张嘉益/刘国祥/徐学政/林海海/温谦/马载军/吴玮玲/张艺/韩炳杰/杨亚洲,剧情,中国大陆/中国香港,汉语普通话,1994-09-10(多伦多电影节),148分钟/205分钟(电视剧加长版),"背对背，脸对脸/BacktoBack,FacetoFace/秋风醉了",tt0109235,9.5,84904,None,None,None
谍影重重 The Bourne Identity,道格·里曼,托尼·吉尔罗伊/罗伯特·鲁德鲁姆/W·布莱克·赫伦,马特·达蒙/弗朗卡·波滕特/克里斯·库珀/克里夫·欧文/朱丽娅·斯蒂尔斯/布莱恩·考克斯/阿德沃尔·阿吉纽依-艾格拜吉/加布里埃尔·曼/沃尔顿·戈金斯/约什·汉密尔顿/奥尔索·马利亚·奎利尼,动作/悬疑/惊悚,美国/德国/捷克,英语/法语/德语/荷兰语/意大利语,2002-11-21(中国大陆)/2002-06-14(美国),119分钟,叛谍追击(港)/神鬼认证(台)/伯恩的身份/身份的迷惑,tt0258463,8.6,368444,"$121,661,683","$92,372,541","$214,034,224"
地球上的星星 Taare Zameen Par,阿米尔·汗,阿莫尔·古普特,达席尔·萨法瑞/阿米尔·汗/塔奈·切赫达/萨谢·英吉尼尔/蒂丝卡·乔普拉/维品·沙尔马/拉利塔·拉伊米/吉里贾·奥克/拉维·汗维尔卡尔/普拉蒂玛·库尔卡尼/梅娜·马里克/索纳利·萨查德夫/桑贾伊·达迪克/拉加·戈帕尔·耶尔/布格斯·巴尔加瓦/尚卡尔·萨查德夫/M·K·拉伊纳,剧情/家庭/儿童,印度,印地语/英语,2007-12-21(印度),165分钟,心中的小星星(台)/每一个孩子都是特别的/तारेज़मीनपर/LikeStarsonEarth,tt0986264,8.9,180380,"$1,223,869","$20,673,504","$21,897,373"
香水 Perfume: The Story of a Murderer,汤姆·提克威,安德鲁·伯金/贝尔恩德·艾辛格/汤姆·提克威/帕特里克·聚斯金德,本·卫肖/艾伦·瑞克曼/蕾切儿·哈伍德/达斯汀·霍夫曼/大卫·卡尔德/比吉特·米尼希迈尔/卡洛斯·格拉马赫/西恩·托马斯/佩里·米尔沃德/山姆·道格拉斯/卡洛琳·赫弗斯/卡罗丽娜·维拉·斯克利亚/莎拉·弗里斯蒂/科琳娜·哈弗奇/杰西卡·施瓦茨/约翰·赫特/拉蒙·普霍尔,剧情/犯罪/奇幻,德国/法国/西班牙/美国/比利时,英语,2006-09-07(德国)/2006-09-14(法国)/2006-11-24(西班牙)/2007-01-05(美国),147分钟,香水：一个杀人犯的故事/香水：一个谋杀犯的故事/香水：杀手的故事/杀手故事/DasParfum-DieGeschichteeinesMörders,tt0396171,8.5,483509,"$2,223,293","$132,816,631","$135,039,924"
小丑 Joker,托德·菲利普斯,托德·菲利普斯/斯科特·西尔弗/鲍勃·凯恩/比尔·芬格/杰瑞·罗宾逊,华金·菲尼克斯/罗伯特·德尼罗/马克·马龙/莎姬·贝兹/谢伊·惠格姆/弗兰西丝·康罗伊/布莱恩·考伦/布莱恩·泰里·亨利/布莱特·卡伦/道格拉斯·霍奇斯/格伦·弗莱舍尔/比尔·坎普/乔什·帕斯/但丁·佩雷拉-奥尔森/玛丽·凯特·马拉特/迈克尔·本茨/莎珑·华盛顿/桑德拉·詹姆斯/托尼·赫德/曼德拉·贝拉米/乔·奥克曼/卡尔·伦德施泰特/米克·奥罗克/大卫·吉布森/伊万·罗萨多/安妮·比萨比亚/布莱斯·科里根/乔恩·道格拉斯·雷尼/艾恩斯利·丹恩/杰森·约翰·奇卡莱塞,剧情/惊悚/犯罪,美国/加拿大,英语,2019-08-31(威尼斯电影节)/2019-10-04(美国),122分钟/118分钟(威尼斯电影节),小丑起源电影：罗密欧/Romeo/JokerOriginMovie,tt7286456,8.7,859916,"$335,451,311","$738,968,073","$1,074,419,384"
完美陌生人 Perfetti sconosciuti,保罗·杰诺维塞,保罗·杰诺维塞/菲利波·博洛尼亚/保罗·克斯泰拉/宝拉·马米妮/罗兰多·拉维洛,马可·贾利尼/卡夏·斯穆特尼亚克/爱德华多·莱奥/阿尔芭·罗尔瓦赫尔/瓦莱里奥·马斯坦德雷亚/安娜·福列塔/朱塞佩·巴蒂斯通,剧情/喜剧,意大利,意大利语,2018-05-25(中国大陆)/2016-02-11(意大利),97分钟/96分钟(中国大陆),完美谎情(港)/波动的信息分享/晦星来的那一夜(豆友译名)/月食来的那一夜(豆友译名)/PerfectStrangers,tt4901306,8.5,467533,None,"$31,640,626","$31,640,626"
再次出发之纽约遇见你 Begin Again,约翰·卡尼,约翰·卡尼,凯拉·奈特莉/马克·鲁弗洛/亚当·莱文/詹姆斯·柯登/海莉·斯坦菲尔德/凯瑟琳·基纳/茅斯·达夫/罗伯·莫洛/伊恩·布罗茨基/香农·沃尔什/大卫·埃伯利斯/马科·阿桑特/玛丽·凯瑟琳·歌瑞森/詹·雅各布/席洛·格林/詹妮弗·李·杰克逊/特里·刘易斯/吉米·帕伦博/西蒙·德兰尼/丹妮尔·布里瑟布瓦/基恩·鲁弗洛/尼古拉斯·丹尼尔·冈萨雷斯/麦迪·科尔曼/阿雅·卡什/大卫·彭德尔顿/保罗·罗梅罗/安德鲁·塞伦/凯伦·皮特曼/罗恩·沃斯,喜剧/爱情/音乐,美国,英语,2015-06-26(中国大陆)/2013-09-07(多伦多电影节)/2014-07-11(美国),104分钟,再次出发/歌曲改变人生/一切从音乐再开始(港)/曼哈顿恋习曲(台)/纽约小情歌/为乐而生/重新开始/重来/CanaSongSaveYourLife?/NewYorkMelody,tt1980929,8.6,369146,"$16,170,632","$49,482,276","$65,652,908"
我爱你 그대를 사랑합니다,秋昌旼,姜草/秋昌旼,宋在浩/李顺载/尹秀晶/金秀美/宋智孝/吴达洙,剧情/爱情,韩国,韩语,2011-02-17(韩国),118分钟,爱你/爱，是一生相伴(台)/LateBlossom,tt1862020,9.1,142863,None,None,None
爱乐之城 La La Land,达米恩·查泽雷,达米恩·查泽雷,瑞恩·高斯林/艾玛·斯通/约翰·传奇/罗丝玛丽·德薇特/芬·维特洛克/杰西卡·罗德/水野索诺娅/考莉·埃尔南德斯/J·K·西蒙斯/汤姆·艾弗瑞特·斯科特/米根·费伊/达蒙·冈普顿/贾森·福克斯/乔什·平茨/艾米·科恩/特里·沃尔特斯/汤姆·谢尔顿/信达·亚当斯/克劳丁·克劳迪奥/D·A·瓦拉赫/特雷弗·里斯奥尔/奥莉维亚·汉密尔顿/安娜·查泽雷/马里乌斯·代·弗里斯/妮科尔·库隆/迈尔斯·安德森/约翰·辛德曼/瓦拉里·雷·米勒/基夫·范登·霍伊维尔/佐伊·霍尔/登普西·帕皮恩/辛德拉·车,剧情/爱情/歌舞,美国,英语,2017-02-14(中国大陆)/2016-08-31(威尼斯电影节)/2016-12-25(美国),128分钟,星声梦里人(港)/乐来越爱你(台)/爵士情缘/啦啦之地,tt3783958,8.4,724622,"$151,101,803","$297,805,062","$448,906,865"
朗读者 The Reader,史蒂芬·戴德利,戴维·黑尔/本哈德·施林克,凯特·温丝莱特/大卫·克劳斯/拉尔夫·费因斯/詹妮特·海因/苏珊娜·洛塔尔/AlissaWilms/弗罗里安·巴西奥罗麦/弗里德里克·贝希特/马蒂亚斯·哈比希/FriederVenus/Marie-AnneFliegel/HendrikArnst/RainerSellien/托尔斯滕·米凯利斯/MoritzGrove,剧情/爱情,美国/德国,英语/德语/希腊语/拉丁语,2008-12-10(纽约首映)/2009-01-30(美国)/2009-02-26(德国),124分钟,为爱朗读(台)/读爱(港)/生死朗读,tt0976051,8.6,409399,"$34,194,407","$74,708,079","$108,902,486"
火星救援 The Martian,雷德利·斯科特,德鲁·戈达德/安迪·威尔,马特·达蒙/杰西卡·查斯坦/克里斯汀·韦格/杰夫·丹尼尔斯/迈克尔·佩纳/凯特·玛拉/肖恩·宾/塞巴斯蒂安·斯坦/唐纳德·格洛弗/切瓦特·埃加福/阿卡塞尔·亨涅/陈数/高雄/本尼迪克特·王/麦肯兹·戴维斯/娜奥米·斯科特/丽丽·博尔丹/布莱恩·卡斯佩,剧情/科幻/冒险,英国/美国/匈牙利/约旦,英语/汉语普通话,2015-11-25(中国大陆)/2015-10-02(美国),144分钟/151分钟(加长版),火星任务(港)/绝地救援(台)/火星人,tt3659388,8.5,605611,"$228,433,663","$401,728,785","$630,162,448"
聚焦 Spotlight,汤姆·麦卡锡,乔希·辛格/汤姆·麦卡锡,马克·鲁弗洛/迈克尔·基顿/瑞秋·麦克亚当斯/列维·施瑞博尔/约翰·斯拉特里/布莱恩·达西·詹姆斯/斯坦利·图齐/比利·克鲁德普/保罗·吉尔福伊尔/杰米·谢尔丹/兰·卡琉/尼尔·哈夫/迈克尔·西里尔·克赖顿/迈克尔·康特里曼,剧情/传记,美国,英语,2015-09-03(威尼斯电影节)/2015-11-25(美国),128分钟,焦点追击(港)/惊爆焦点(台),tt1895587,8.8,242855,"$45,055,776","$53,634,478","$98,690,254"
小萝莉的猴神大叔 Bajrangi Bhaijaan,卡比尔·汗,卡比尔·汗/维杰耶德拉·普拉萨德,萨尔曼·汗/哈莎莉·马洛特拉/卡琳娜·卡普尔/纳瓦祖丁·席迪圭/欧姆·普瑞/梅·维贾/席尔帕.舒克拉/拉杰什·沙玛/沙拉蒂·瑟斯纳/阿图·斯里瓦斯塔瓦/阿德南·萨米/马诺·巴克什,剧情/喜剧/动作,印度,印地语/乌尔都语,2018-03-02(中国大陆)/2015-07-17(印度),159分钟/141分钟(中国大陆),娃娃返乡任务(台)/宝莱坞之钢铁奶爸(台)/把她带回家/猴神兄弟/猴神老哥/回家/BrotherBajrangi,tt3863552,8.4,430932,"$8,178,001","$112,948,187","$121,126,188"
浪潮 Die Welle,丹尼斯·甘塞尔,丹尼斯·甘塞尔/彼得·图万斯/约翰尼·道金斯/罗恩·比恩巴赫/罗恩·琼斯,于尔根·福格尔/弗雷德里克·劳/马克思·雷迈特/詹妮弗·乌尔里希/克里斯蒂安娜·保罗/雅各布·马琛茨/克里斯蒂娜·度·瑞格/埃利亚斯·穆巴里克/马克西米利安·福尔马尔/马克斯·毛夫,剧情/惊悚,德国,德语,2008-03-13(德国),107分钟,恶魔教室(台)/白恤暴潮(港)/波浪/挥手礼/TheWave,tt1063669,8.7,238037,None,"$32,350,637","$32,350,637"
猜火车 Trainspotting,丹尼·博伊尔,埃文·威尔什/约翰·霍奇,伊万·麦克格雷格/艾文·布莱纳/约翰尼·李·米勒/凯文·麦克基德/罗伯特·卡莱尔/凯莉·麦克唐纳/彼得·穆兰/詹姆斯·科兹莫/艾琳·尼古拉斯/苏珊·维德勒/波林·林奇/雪莉·亨德森/斯图尔特·麦克奎里/埃文·威尔什/戴尔·温顿/基思·艾伦/凯文·艾伦/菲奥娜·贝尔/休·罗斯/芬利·威尔士/汤姆·德尔玛/约翰·霍奇/安德鲁·麦克唐纳/StuartMcGugan,剧情/犯罪,英国,英语,1996-02-23(英国),94分钟,迷幻列车(港)/定位的火车,tt0117951,8.6,374371,"$16,491,080","$276,395","$16,767,475"
千年女优 千年女優,今敏,今敏/村井贞之,庄司美代子/小山茉美/折笠富美子/饭塚昭三/小野坂昌也/津田匠子/铃置洋孝/京田尚子/德丸完/片冈富枝/石森达幸/佐藤政道/小形满/麻生智久/游佐浩二/肥后诚/坂口候一/志村知幸/木村亚希子/佐伯志/野岛裕史/浅野琉璃/大中宽子/园部好德/大黑优美子/山寺宏一/津嘉山正种,剧情/爱情/动画,日本,日语,2001-07-28(加拿大奇幻电影节)/2002-09-14(日本),87分钟,MillenniumActress,tt0291350,8.8,204628,"$262,891",None,"$262,891"
